# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2427
#@/user_id	MBP-C1-2017
gao yi ge 	搞一個	c=1 d=1 t=2065
ge 	個	c=4 d=1.89583 t=2341
ge da 	各大	c=1 d=1 t=2112
ge li 	隔離	c=1 d=1 t=989
ge men 	哥們	c=1 d=1 t=955
ge qu 	歌曲	c=1 d=0.060205 t=2427
ge ren 	個人	c=3 d=0.825024 t=2427
ge shou 	歌手	c=1 d=0.332871 t=2427
ge zhong 	各種	c=0 d=0.1 t=1239
ge zhong zuo e 	各種作惡	c=1 d=1 t=1240
gei 	給	c=3 d=1.49464 t=2427
gen 	跟	c=3 d=0.491644 t=2427
gen ni 	跟你	c=1 d=1 t=1116
geng 	更	c=2 d=0.105399 t=2427
geng can 	更慘	c=1 d=1 t=1417
geng duo 	更多	c=1 d=1 t=2087
geng jin 	更緊	c=1 d=1 t=2089
geng shi 	更是	c=1 d=1 t=1971
geng xin 	更新	c=1 d=1 t=1487
gong ka 	工卡	c=2 d=1.81465 t=2248
gong shi 	公式	c=1 d=1 t=1690
gong si 	公司	c=2 d=1.27581 t=2409
gou 	夠	c=1 d=0.995012 t=2427
gou le 	夠了	c=1 d=1 t=2363
gu 	股	c=1 d=1 t=1018
gu ge 	谷歌	c=2 d=1.5886 t=2229
gu ji 	估計	c=7 d=3.96097 t=2398
gu piao 	股票	c=2 d=1.75201 t=1311
gu shi 	股市	c=1 d=1 t=1126
gua le 	颳了	c=1 d=1 t=1479
guan 	管	c=1 d=1 t=2294
guan lan gao shou 	灌籃高手	c=1 d=1 t=820
guan wang 	觀望	c=0 d=0.1 t=1073
guan wang yi xia 	觀望一下	c=1 d=1 t=1074
gun zi 	棍子	c=1 d=1 t=1579
guo 	過	c=2 d=0.0339596 t=2427
guo chan 	國產	c=1 d=0.826959 t=2427
guo duan 	過段	c=0 d=0.1 t=1091
guo duan shi jian 	過段時間	c=1 d=1 t=1092
guo jia 	國家	c=1 d=1 t=1600
ha 	哈	c=1 d=0.25924 t=2427
ha a 	哈啊	c=1 d=1 t=1903
ha ha 	哈哈	c=11 d=1.93294 t=2427
hai 	還	c=12 d=2.01485 t=2427
hai dei 	還得	c=1 d=1 t=1801
hai hao 	還好	c=4 d=1.98634 t=2300
hai ke yi 	還可以	c=1 d=0.65377 t=2427
hai mei you 	還沒有	c=4 d=1.25416 t=2427
hai mei you ne 	還沒有呢	c=2 d=1.89583 t=1644
hai shi 	還是	c=8 d=1.45011 t=2427
hai wan 	還玩	c=0 d=0.0044601 t=2427
hai wan le 	還玩了	c=1 d=0.0448245 t=2427
hai you 	還有	c=4 d=0.852689 t=2427
hai you xiao guo 	還有效果	c=1 d=1 t=1590
hang 	行	c=1 d=0.205975 t=2427
hao 	好	c=8 d=0.289367 t=2427
hao de 	好的	c=1 d=0.249075 t=2427
hao duo 	好多	c=1 d=0.102672 t=2351
hao duo dong xi 	好多東西	c=1 d=1 t=2352
hao ji ci 	好幾次	c=1 d=1 t=2262
hao kan 	好看	c=1 d=1 t=1231
hao kuai 	好快	c=1 d=0.729789 t=2427
hao le 	好了	c=2 d=1.35523 t=2405
hao ma fan 	好麻煩	c=1 d=1 t=1355
hao man 	好慢	c=1 d=1 t=1898
hao tai duo 	好太多	c=1 d=1 t=1003
hao xiang 	好像	c=23 d=2.88923 t=2427
hao xiang 	好象	c=2 d=0.0905492 t=2427
hao xiang shi 	好象是	c=1 d=0.280832 t=2427
hao xiao xi 	好消息	c=2 d=1.90484 t=1885
hao ya 	好呀	c=2 d=0.397729 t=2427
he 	和	c=6 d=1.6729 t=2427
he deng 	何等	c=0 d=0.1 t=2076
he deng en dian 	何等恩典	c=1 d=1 t=2077
he yi 	合一	c=1 d=0.506617 t=2427
hei 	黑	c=1 d=1 t=1630
hei an 	黑暗	c=0 d=0.1 t=1079
hei an mo shi 	黑暗模式	c=1 d=1 t=1080
hei wu 	黑五	c=1 d=0.105928 t=2427
hen 	很	c=3 d=0.180231 t=2427
hen 	狠	c=2 d=0.691715 t=1277
hen da 	很大	c=0 d=0.0355226 t=2427
hen duo 	很多	c=4 d=0.0541747 t=2427
hen hao 	很好	c=1 d=1 t=1139
hen jiu 	很久	c=2 d=0.288671 t=2427
hen nan 	很難	c=1 d=0.0889252 t=2427
hen nan zhao 	很難找	c=1 d=0.14808 t=2427
hen shao 	很少	c=2 d=0.447088 t=2427
hen zan 	很讚	c=1 d=1 t=2420
heng shu 	橫豎	c=1 d=0.774916 t=2427
heng xiang 	橫向	c=2 d=1.99501 t=2427
hong cheng huang lv lan dian zi 	紅橙黃綠藍靛紫	c=1 d=1 t=1643
hong tao 	洪濤	c=0 d=0.0778801 t=2427
hou 	吼	c=1 d=1 t=1589
hou dao 	厚到	c=1 d=0.113608 t=2427
hou lai 	後來	c=2 d=0.793417 t=2427
hou nian ma yue 	猴年馬月	c=1 d=1 t=1910
hu chu 	呼出	c=1 d=1 t=1304
hu shi 	護士	c=1 d=1 t=1256
hua xue 	滑雪	c=1 d=0.0405589 t=2427
huan 	換	c=4 d=0.133235 t=2427
huan gong zuo 	換工作	c=1 d=1 t=2305
huan le 	換了	c=1 d=1 t=1150
huan xin 	換新	c=1 d=1 t=1147
huan zi ti 	換字體	c=2 d=1.84163 t=2427
huang 	慌	c=1 d=1 t=1113
