# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	4960
#@/user_id	MBP-2019
a 	啊	c=67 d=7.11815 t=4960
chu le 	除了	c=1 d=0.0020601 t=4960
chu mo ban 	觸摸板	c=1 d=0.0105672 t=4960
chu qu 	出去	c=1 d=1 t=3809
chu sheng 	出聲	c=0 d=0.1 t=4126
chu xian 	出現	c=1 d=0.782705 t=4960
chuan dao shu 	傳道書	c=1 d=1 t=4353
chuan ran 	傳染	c=1 d=0.0177743 t=4960
chuang kou 	窗口	c=1 d=1 t=3350
chuang zuo 	創作	c=1 d=0.00301245 t=4960
chun 	純	c=1 d=0.0231676 t=4960
chun wan 	春晚	c=1 d=0.000319102 t=4960
ci 	次	c=1 d=1.09656 t=3994
ci dian 	詞典	c=1 d=0.956755 t=4960
ci ku 	詞庫	c=6 d=1.99501 t=4960
ci pin 	詞頻	c=3 d=1.33309 t=4726
ci shen 	刺身	c=1 d=0.000332125 t=4960
ci yu 	詞語	c=1 d=1 t=4729
cong 	從	c=3 d=0.00413721 t=4960
cong you bing 	蔥油餅	c=1 d=0.0246002 t=4960
cou he 	湊合	c=1 d=1 t=2646
cun 	寸	c=3 d=0.661535 t=4960
cun 	村	c=1 d=0.00951391 t=4960
cuo 	搓	c=1 d=0.0197421 t=4960
cuo wu 	錯誤	c=1 d=0.117068 t=4960
da 	大	c=1 d=0.960708 t=4705
da 	打	c=4 d=0.0430587 t=4960
da ban ye 	大半夜	c=1 d=1 t=4706
da bu kai 	打不開	c=1 d=0.386741 t=4960
da chu 	大廚	c=2 d=1.94176 t=3373
da duan 	打斷	c=1 d=1 t=2683
da duo shu ren 	大多數人	c=1 d=1 t=4768
da fang 	大方	c=2 d=0.305746 t=4960
da ge 	打個	c=1 d=1 t=4580
da gong si 	大公司	c=1 d=0.0581343 t=4960
da hua 	大華	c=0 d=0.1 t=3483
da hua fu 	大華府	c=2 d=1.81873 t=3524
da jia 	大家	c=4 d=0.0356146 t=4960
da kai 	打開	c=4 d=0.0007955 t=4960
da ren 	大人	c=1 d=1 t=2983
da yi xie 	大一些	c=1 d=1 t=3395
da zhang 	大漲	c=1 d=0.00382958 t=4960
da zhong 	大中	c=0 d=0.00175097 t=4960
da zhong tai 	大中臺	c=1 d=0.0175975 t=4960
da zi 	打字	c=2 d=1.11648 t=4233
dai 	代	c=0 d=0.0740818 t=4960
dai 	帶	c=2 d=0.303741 t=4960
dai hui 	待會	c=2 d=0.313486 t=4960
dai hui er 	呆會兒	c=1 d=1 t=3389
dai pian le 	帶偏了	c=1 d=0.0160829 t=4960
dai zhe 	帶着	c=1 d=1 t=4571
dan 	蛋	c=1 d=1 t=3297
dan bai 	蛋白	c=1 d=0.000703108 t=4960
dan ge 	單個	c=1 d=0.217621 t=4960
dang 	當	c=1 d=0.079659 t=4960
dang shi 	當時	c=1 d=1 t=3171
dao 	到	c=11 d=0.874849 t=4960
dao bi 	倒閉	c=1 d=1 t=4404
dao gao 	禱告	c=2 d=1.63128 t=3006
dao ji shi 	倒計時	c=2 d=1.79453 t=3754
dao ru 	導入	c=1 d=0.00028525 t=4960
dao shi 	倒是	c=3 d=1.09212 t=4960
dao shi bu duo 	倒是不多	c=1 d=1 t=4384
dao shi hou 	到時候	c=1 d=1 t=3129
dao wei 	到位	c=1 d=0.0208584 t=4960
dao zhi 	導致	c=1 d=0.000273284 t=4960
de 	的	c=237 d=8.33811 t=4960
de ba 	的吧	c=1 d=0.489192 t=4960
de hua 	的話	c=6 d=0.839491 t=4960
dei 	得	c=9 d=1.98733 t=4960
deng 	等	c=2 d=0.694197 t=4960
deng dao 	登到	c=1 d=0.00189223 t=4960
deng lu 	登錄	c=4 d=0.619711 t=4960
deng ni 	等你	c=1 d=1 t=3811
deng wo 	等我	c=1 d=0.00137404 t=4960
deng xia 	等下	c=1 d=1 t=2559
deng yi xia 	等一下	c=1 d=0.0169922 t=4960
di 	低	c=1 d=0.00585769 t=4960
di di 	弟弟	c=1 d=1 t=4527
di duan 	低段	c=0 d=0.000246639 t=4960
di duan ji 	低段機	c=1 d=0.00247875 t=4960
di er 	第二	c=1 d=0.909373 t=4960
di fang 	地方	c=1 d=0.980199 t=4960
di xia huo dong 	地下活動	c=1 d=1 t=4579
di xiong 	弟兄	c=1 d=1 t=4008
di yi 	第一	c=1 d=1 t=4602
di yi ci 	第一次	c=1 d=0.0833256 t=4960
di yi ge 	第一個	c=1 d=0.00101791 t=4960
di yi ming 	第一名	c=1 d=1 t=4349
di yi pi 	第一批	c=1 d=1 t=4326
dian 	點	c=2 d=0.269828 t=4960
dian chi 	電池	c=1 d=0.00174675 t=4960
dian dian 	點點	c=1 d=1 t=4621
dian fan 	典範	c=1 d=1 t=4263
dian nao 	電腦	c=16 d=1.28299 t=4960
dian xian 	電線	c=1 d=1 t=2576
dian xin 	電信	c=1 d=1 t=3973
dian ying 	電影	c=1 d=1 t=2941
dian yuan xian 	電源線	c=1 d=1 t=2446
dian zi 	電子	c=1 d=1 t=4322
dian zi ban 	電子版	c=1 d=0.0330412 t=4960
diao 	掉	c=1 d=1 t=3230
diao cha 	調查	c=1 d=0.19593 t=4960
diao xian 	掉線	c=1 d=1 t=3537
diao yu 	釣魚	c=0 d=0.0311923 t=4960
diao yu nai 	釣魚乃	c=1 d=0.313486 t=4960
die 	碟	c=0 d=0.1 t=2649
die ying chong chong 	碟影重重	c=1 d=1 t=2650
ding 	定	c=1 d=1 t=4690
ding 	訂	c=1 d=1 t=4691
ding ji 	頂級	c=1 d=1 t=4184
ding le 	訂了	c=1 d=0.000812821 t=4960
ding shang 	盯上	c=0 d=0.124561 t=4960
ding shang la 	盯上啦	c=1 d=0.449329 t=4960
diu lian 	丟臉	c=1 d=1 t=3952
dong li 	動力	c=1 d=0.00112497 t=4960
dong tai gui hua 	动态规划	c=2 d=1.02975 t=4714
dong tian 	冬天	c=1 d=0.0426384 t=4960
dong xi 	東西	c=6 d=0.477792 t=4960
dou 	都	c=40 d=2.51054 t=4960
dou dou 	豆豆	c=1 d=1 t=3641
dou hui 	都會	c=1 d=1 t=2584
dou lai la 	都來啦	c=1 d=1 t=4499
dou shi 	都是	c=17 d=2.01384 t=4960
du chong 	獨寵	c=1 d=1 t=4270
du jia 	度假	c=1 d=0.891366 t=4960
du wang 	毒王	c=1 d=0.0015648 t=4960
du zi 	肚子	c=0 d=0.1 t=4706
du zi hai hao cheng 	肚子還好撐	c=1 d=1 t=4707
duan 	端	c=1 d=0.127598 t=4180
duan kou 	端口	c=1 d=0.0558548 t=4960
duan lian 	鍛鍊	c=3 d=2.96536 t=4244
duan shi jian 	段時間	c=0 d=0.0241714 t=4960
duan wang 	斷網	c=1 d=0.404542 t=4960
dui 	堆	c=1 d=1 t=3034
dui 	對	c=5 d=0.685202 t=4960
dui yu 	對於	c=2 d=0.0812682 t=4960
duo 	多	c=6 d=0.47214 t=4960
duo ge 	多個	c=1 d=0.425283 t=4960
duo hang 	多行	c=0 d=0.00555762 t=4960
duo jiu 	多久	c=1 d=1 t=3499
duo le 	多了	c=1 d=0.114178 t=4960
duo shao 	多少	c=1 d=0.286505 t=4960
duo zhong 	多鍾	c=1 d=1 t=4794
e 	額	c=4 d=0.257947 t=4960
e du 	額度	c=1 d=0.136695 t=4960
e luo si 	俄羅斯	c=1 d=0.214381 t=4960
en 	恩	c=16 d=2.77129 t=4960
en dian 	恩典	c=0 d=0.0172907 t=4960
er ci 	二次	c=1 d=1 t=4427
er ming 	耳鳴	c=1 d=0.814647 t=4960
er qie 	而且	c=1 d=0.839457 t=4960
er yue 	二月	c=1 d=0.0018363 t=4960
fa 	發	c=8 d=2.34312 t=4960
fa fen 	罰分	c=1 d=1 t=3876
fa sheng 	發生	c=1 d=1 t=4804
fa song 	發送	c=1 d=1 t=3076
fa xian 	發現	c=7 d=0.0125156 t=4960
fan ye 	翻頁	c=2 d=1.98511 t=4960
fan yi 	翻譯	c=1 d=0.0100017 t=4960
fan ying 	反應	c=1 d=0.856415 t=4960
